word,freq
bem,2278717
sim,1839153
aqui,1798698
vai,1491347
vamos,1420644
tudo,1353946
então,1211428
pode,1197179
agora,1181210
vou,1140600
fazer,1055940
sei,1053771
certo,918318
quer,908089
sabe,868139
nada,816543
disse,806689
onde,787679
quero,783981
bom,774538
ter,766268
dizer,741447
posso,740678
acho,735638
sobre,734703
mim,730004
porque,711704
coisa,669387
todos,655568
algo,636337
tempo,621951
assim,620622
nunca,608898
casa,600389
quê,599493
ver,582702
pra,563223
ainda,558497
tão,551951
cara,531856
favor,521946
melhor,520581
noite,514681
obrigado,503071
dia,495684
talvez,490918
pai,487553
deus,468950
alguém,468942
mãe,458810
vida,456588
senhor,453553
sempre,449587
anos,449517
vez,438847
verdade,435669
ficar,424486
parece,424214
claro,416979
falar,406564
coisas,405017
antes,404707
pessoas,403648
pouco,402632
preciso,393375
apenas,385267
homem,383305
deve,381544
boa,380027
dois,378982
fazendo,374216
todo,366012
lugar,365584
faz,365096
acha,361688
fez,360039
disso,349418
trabalho,348067
precisa,339447
hoje,335062
ninguém,330982
novo,327125
queria,322107
comigo,320834
mundo,315223
saber,313726
alguma,310457
dar,308480
podemos,304299
grande,302177
sinto,302174
poderia,300177
dinheiro,296405
nome,289740
quanto,284657
qualquer,283792
outro,282121
desculpe,268618
filho,267642
certeza,262701
vão,262556
hora,258209
outra,253337
sair,241982
toda,239382
volta,238641
problema,237965
obrigada,236384
olá,233623
tipo,233417
realmente,232993
sabia,232259
aconteceu,230961
menos,230759
mulher,230503
algum,229208
diga,226150
falando,225075
espere,224491
ótimo,218571
carro,217940
vezes,215892
amigo,214659
primeiro,214074
deveria,213644
venha,210165
três,209744
daqui,206026
sério,204028
diz,203268
voltar,200945
parte,200135
amor,199565
feliz,197259
viu,193973
embora,192388
família,192013
olhe,191301
deixar,190410
atrás,189476
faça,188657
pensei,188161
ajudar,187791
todas,187391
olha,184048
duas,183434
querida,181748
frente,180391
indo,178129
alguns,177552
dias,176804
vem,175957
lado,174756
podem,172903
fiz,172788
merda,171084
pare,169805
tarde,169685
gosto,169631
precisamos,169166
caso,168838
fique,167217
dentro,166996
cidade,165665
momento,165133
pegar,164895
nenhum,164611
gente,163727
amanhã,162442
cabeça,161507
gostaria,161412
amigos,159251
mal,158673
enquanto,156514
homens,155377
logo,155159
desde,154598
tanto,154098
garota,153950
pessoa,153920
legal,153361
amo,153007
rápido,152583
algumas,152471
cada,152335
jeito,151950
tentando,150938
meio,150787
outros,150574
têm,150503
medo,149569
importa,147783
irmão,147268
errado,146252
história,144741
primeira,144548
quase,144341
horas,144177
encontrar,143651
nova,142510
pessoal,141711
difícil,141480
forma,141405
contra,140747
matar,140732
semana,140660
dizendo,139892
perto,139350
demais,139005
entrar,138656
deu,137004
achei,136837
deixe,136721
vejo,136691
polícia,136473
espero,136327
sido,134537
juntos,133805
ajuda,133530
ano,133439
caminho,132885
nisso,132871
quiser,132500
crianças,132498
manhã,131838
sorte,131022
morte,131003
pensar,129699
papai,129449
ali,128787
veja,128774
fica,128765
quarto,128047
levar,127299
filha,126797
feito,126740
minutos,126705
morto,126021
porta,125738
entendo,124645
cima,124265
acabou,124190
chegar,123890
veio,123287
água,122397
mesma,122368
significa,121562
pronto,121186
esposa,120840
vir,120576
acredito,120491
ouvir,120219
gosta,118631
morrer,117738
olhos,117197
garoto,117095
última,116717
coração,116476
contar,116342
importante,116341
jogo,116288
acontecendo,115909
razão,115775
mãos,115576
devo,115374
ideia,115356
consigo,114885
idiota,114632
passar,114587
havia,113652
problemas,113369
parar,112758
senhora,112327
fim,112144
corpo,111546
chefe,111526
poder,111160
mamãe,110962
cuidado,110889
começar,110856
espera,110669
ficou,110169
conta,110148
exatamente,110048
arma,109719
longe,109588
escola,109580
tentar,108293
pois,108028
terra,107896
droga,107699
ontem,107458
pensando,107444
única,107358
devia,107350
sendo,107229
causa,107218
guerra,105845
chance,105170
usar,104604
marido,103987
mão,103699
tal,103391
trabalhar,102858
sangue,102853
música,102282
esperar,102159
querem,101749
uns,101113
nenhuma,100716
digo,99268
estranho,98945
maior,98905
velho,97946
faço,97526
boca,97426
festa,97006
fala,96434
mulheres,96266
conhece,96022
ouvi,95878
tirar,95803
esperando,95351
podia,95312
licença,95301
capitão,95181
preocupe,95115
comer,95065
fácil,94781
deixa,94652
novamente,94399
além,94391
irmã,94345
meses,94008
suficiente,93699
pais,93390
segundo,93200
sabemos,92908
muitas,92871
cinco,92861
bebê,92825
matou,92526
